Gene,Degree,Clustering
Gene_001,57,0.7512531328320802
Gene_004,61,0.8158469945355191
Gene_007,49,0.7576530612244898
Gene_005,56,0.7435064935064936
Gene_008,57,0.818922305764411
Gene_013,68,0.7598770851624231
Gene_012,60,0.7350282485875707
Gene_009,66,0.717016317016317
Gene_053,61,0.7459016393442623
Gene_055,60,0.8299435028248587
Gene_060,56,0.7512987012987012
Gene_063,61,0.7459016393442623
Gene_056,68,0.702809482001756
Gene_020,48,0.7429078014184397
Gene_072,56,0.8474025974025974
Gene_066,68,0.7598770851624231
Gene_092,67,0.7114427860696517
Gene_091,68,0.7506584723441615
Gene_074,48,0.7730496453900709
Gene_077,57,0.8377192982456141
Gene_069,67,0.7051108095884215
Gene_089,61,0.6967213114754098
Gene_090,48,0.7730496453900709
Gene_094,49,0.7576530612244898
Gene_070,63,0.7255504352278546
Gene_115,52,0.7624434389140271
Gene_127,57,0.7274436090225563
Gene_110,56,0.7285714285714285
Gene_108,59,0.7632963179427236
Gene_112,62,0.817028027498678
Gene_111,61,0.826775956284153
Gene_098,66,0.7780885780885781
Gene_116,59,0.6452367036820573
Gene_133,53,0.6422351233671988
Gene_130,59,0.8270017533606079
Gene_146,58,0.7755595886267392
Gene_147,61,0.746448087431694
Gene_148,67,0.7693351424694709
Gene_139,67,0.7069199457259159
Gene_121,69,0.7084398976982097
Gene_030,70,0.69648033126294
Gene_034,58,0.7416817906836055
Gene_041,64,0.7182539682539683
Gene_035,59,0.7083576855639977
Gene_052,55,0.7313131313131314
Gene_050,62,0.7313590692755156
Gene_024,66,0.7776223776223776
Gene_023,52,0.6493212669683258
Gene_045,57,0.7330827067669173
Gene_044,58,0.7755595886267392
Gene_086,67,0.7376752600633197
Gene_014,50,0.7420408163265306
Gene_038,67,0.7521483491632746
Gene_039,57,0.8302005012531328
Gene_031,66,0.71002331002331
Gene_032,63,0.8069636456733231
Gene_118,57,0.6942355889724311
Gene_059,50,0.7322448979591837
Gene_006,68,0.702809482001756
Gene_104,57,0.743734335839599
Gene_113,51,0.6564705882352941
Gene_128,61,0.7453551912568306
Gene_138,65,0.7264423076923077
Gene_136,57,0.7274436090225563
Gene_042,57,0.6848370927318296
Gene_126,62,0.7366472765732417
Gene_047,62,0.7297726070861977
Gene_088,67,0.7616463138851198
Gene_085,58,0.6733212341197822
Gene_003,48,0.7730496453900709
Gene_129,60,0.7033898305084746
Gene_117,58,0.7755595886267392
Gene_135,55,0.8646464646464647
Gene_141,60,0.703954802259887
Gene_067,63,0.8069636456733231
Gene_078,62,0.817028027498678
Gene_079,66,0.717948717948718
Gene_019,60,0.7033898305084746
Gene_058,68,0.7506584723441615
Gene_037,61,0.826775956284153
Gene_119,63,0.7255504352278546
Gene_105,61,0.746448087431694
Gene_051,49,0.7865646258503401
Gene_082,64,0.7251984126984127
Gene_017,49,0.7916666666666666
Gene_145,60,0.8355932203389831
Gene_142,67,0.7670737222976028
Gene_083,64,0.7251984126984127
Gene_027,61,0.826775956284153
Gene_100,48,0.6923758865248227
Gene_134,67,0.7670737222976028
Gene_103,48,0.7429078014184397
Gene_150,57,0.7807017543859649
Gene_137,68,0.7506584723441615
Gene_068,66,0.7580419580419581
Gene_080,61,0.7453551912568306
Gene_096,59,0.760958503798948
Gene_076,66,0.7188811188811188
Gene_106,60,0.6971751412429379
Gene_043,61,0.694535519125683
Gene_048,67,0.7426503844414292
Gene_016,59,0.7101110461718293
Gene_101,68,0.7506584723441615
Gene_073,52,0.7624434389140271
Gene_097,62,0.7297726070861977
Gene_140,58,0.7574107683000605
Gene_093,58,0.7574107683000605
Gene_099,65,0.7168269230769231
Gene_102,58,0.7192982456140351
Gene_022,47,0.7992599444958371
Gene_036,56,0.7428571428571429
Gene_057,57,0.7274436090225563
Gene_084,58,0.7574107683000605
Gene_132,57,0.7330827067669173
Gene_026,56,0.8545454545454545
Gene_075,63,0.7311827956989247
Gene_040,57,0.7337092731829574
Gene_107,60,0.6971751412429379
Gene_028,65,0.7639423076923076
Gene_054,64,0.7232142857142857
Gene_122,57,0.8302005012531328
Gene_144,59,0.7650496785505553
Gene_131,48,0.8067375886524822
Gene_095,55,0.6606060606060606
Gene_018,51,0.7568627450980392
Gene_065,64,0.7251984126984127
Gene_071,58,0.7701149425287356
Gene_064,60,0.7553672316384181
Gene_120,61,0.746448087431694
Gene_149,58,0.7598306110102844
Gene_046,56,0.8246753246753247
Gene_109,53,0.8251088534107403
Gene_061,57,0.7330827067669173
Gene_049,56,0.762987012987013
Gene_123,58,0.8360556563823351
Gene_002,55,0.8303030303030303
Gene_021,68,0.7199297629499561
Gene_062,49,0.7976190476190477
Gene_143,48,0.8023049645390071
Gene_025,63,0.7322068612391193
Gene_081,54,0.7442348008385744
Gene_010,49,0.7976190476190477
Gene_087,59,0.7533606078316774
Gene_114,56,0.837012987012987
Gene_015,47,0.8223866790009251
Gene_029,45,0.7313131313131314
Gene_033,55,0.7501683501683502
Gene_125,48,0.7730496453900709
Gene_011,47,0.6910268270120259
Gene_124,50,0.7853061224489796
Gene_414,0,0.0
Gene_281,0,0.0
Gene_332,0,0.0
Gene_232,0,0.0
Gene_402,0,0.0
Gene_410,0,0.0
Gene_364,0,0.0
Gene_201,0,0.0
Gene_235,0,0.0
Gene_496,0,0.0
Gene_310,0,0.0
Gene_457,0,0.0
Gene_477,0,0.0
Gene_329,0,0.0
Gene_440,0,0.0
Gene_349,0,0.0
Gene_377,0,0.0
Gene_185,0,0.0
Gene_178,0,0.0
Gene_363,0,0.0
Gene_261,0,0.0
Gene_299,0,0.0
Gene_171,0,0.0
Gene_497,0,0.0
Gene_298,0,0.0
Gene_426,0,0.0
Gene_192,0,0.0
Gene_323,0,0.0
